instansi,bagian,uraian,program,kegiatan,sub_kegiatan,sub_rincian,Cluster
dinas perhubungan,upt perhubungan wilayah iv,pembayaran belanja alat bahan kegiatan kantorperlengkapan dinas sub kegiatan rehabilitasi pemeliharaan perlengkapan jalan upt wilayah iv leuwiliang,program penyelenggaraan lintas angkutan jalan llaj,penyediaan perlengkapan jalan jalan kabupaten kota,rehabilitasi pemeliharaan perlengkapan jalan,belanja alat bahan kegiatan kantorperlengkapan dinas,3
dinas sosial,sekretariat dinsos,penyusunan dokumen perencanaan perangkat daerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,penyusunan dokumen perencanaan perangkatdaerah,belanja makanan minuman rapat,3
dinas sosial,upt bks dinsos,belanja alat bahan kegiatan kantorperabot kantor,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa pelayanan kantor,belanja alat bahan kegiatan kantorperabot kantor,4
dinas kesehatan,rsud cibinong,pembayaran telpon agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan telepon,3
dinas sosial,bidang rehabilitasi sosial,pemberian layanan kedaruratan,program rehabilitasi sosial,rehabilitasi sosial dasar penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis panti sosial,pemberian layanan kedaruratan,belanja perjalanan dinas kota,3
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa sukaharja kecamatan cijeruk dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas kependudukan pencatatan sipil,sekretariat disduk,belanja makanan minuman rapat termin ii sub kegiatan penyediaan jasa pelayanan kantor,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa pelayanan kantor,belanja makanan minuman rapat,4
dinas perhubungan,bidang sarana transportasi jalan,koordinasi penyelenggaraan pengujian berkala kendaraan bermotor bln agustus,program penyelenggaraan lintas angkutan jalan llaj,pengujian berkala kendaraan bermotor,koordinasi penyelenggaraan pengujian berkala kendaraan bermotor,belanja perjalanan dinas,4
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran belanja tagihan internet agustus smpn gunungsindur sub kegiatan penyediaan jasa komunikasi sumber daya air listrik id pel skw,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
dinas sosial,bidang perlindungan jaminan sosial,belanja alat bahan kegiatan kantor bahan cetak,program perlindungan jaminan sosial,pemeliharaan anak anak terlantar,penjangkauan anak anak terlantar,belanja alat bahan kegiatan kantor bahan cetak,4
dinas kependudukan pencatatan sipil,upt kependudukan pencatatan sipil wilayah i,pengajuan gu sub kegiatan pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pencatatan sipil upt wilayah i parung agustus,program pencatatan sipil,penyelenggaraan pencatatan sipil,pelayanan aktif pendaftaran peristiwa kependudukan pencatatan peristiwa terkait pencatatan sipil,belanja alat bahan kegiatan kantor kertas cover,1
dinas kependudukan pencatatan sipil,sekretariat disduk,pembayaran tagihan listrik upt vii cileungsi id pel sub kegiatan penyediaan jasa komunikasi sumber daya air listrik agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan listrik,3
dinas kesehatan,bidang sumberdaya kesehatan,pembayaran belanja modal alat laboratorium pengadaan refrigerator sub kegiatan pengadaan alat kesehatanalat penunjang medik fasilitas pelayanan kesehatan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan fasilitas pelayanan kesehatan ukm ukp kewenangan daerah kabupaten kota,pengadaan alat kesehatan alat penunjang medik fasilitas pelayanan kesehatan,belanja modal alat laboratorium,2
dinas sosial,bidang rehabilitasi sosial,pemberian layanan rujukan,program rehabilitasi sosial,rehabilitasi sosial dasar penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis panti sosial,pemberian layanan rujukan,belanja perjalanan dinas kota,3
dinas kependudukan pencatatan sipil,sekretariat disduk,pengajuan gu sub kegiatan evaluasi kinerja perangkat daerah agustus,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,evaluasi kinerja perangkat daerah,belanja makanan minuman rapat,1
dinas kependudukan pencatatan sipil,bidang pelayanan pendaftaran penduduk,pengajuan gu sub kegiatan pencatatan penatausahaan penerbitan dokumen pendaftaran penduduk agustus,program pendaftaran penduduk,pelayanan pendaftaran penduduk,pencatatan penatausahaan penerbitan dokumen pendaftaran penduduk,belanja perjalanan dinas kota,2
dinas komunikasi informatika,bidang aplikasi teknologi informasi infrastruktur informasi,belanja bahan cetak bahan komputer perjalanan dinas kota sub kegiatan pengembangan aplikasi proses bisnis pemerintahan berbasis elektronik,program pengelolaan aplikasi informatika,pengelolaan e government lingkup pemerintah daerah kabupaten kota,pengembangan aplikasi proses bisnis pemerintahan berbasis elektronik,belanja alat bahan kegiatan kantorbahan komputer,2
dinas kesehatan,sekretariat dinas kesehatan,belanja modal personal computer sub kegiatan penyediaan peralatan perlengkapan kantor anggaran,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyediaan peralatan perlengkapan kantor,belanja modal personal computer,4
dinas sosial,sekretariat dinsos,belanja makanan minuman rapat,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa pelayanan kantor,belanja makanan minuman rapat,4
